ano,id_municipio,quantidade_escolas
2019,2205573,12
2019,2205599,12
2019,2205805,47
2019,2205904,9
2019,2206050,12
2019,2206100,25
2019,2206209,54
2019,2206605,17
2019,2206654,9
2019,2206670,15
2019,2206720,13
2019,2206951,5
2019,2207009,45
2019,2207108,8
2019,2207553,13
2019,2207603,18
2019,2207702,142
2019,2207793,6
2019,2207801,27
2019,2207850,9
2019,2208007,93
2019,2208106,23
2019,2208304,28
2019,2208403,72
2019,2208502,25
2019,2208650,6
2019,2208700,13
2019,2208809,21
2019,2208874,12
2019,2208908,10
2019,2209203,16
2019,2209559,10
2019,2209609,8
2019,2209658,9
2019,2209708,15
2019,2209856,11
2019,2209955,8
2019,2209971,18
2019,2210052,8
2019,2210201,13
2019,2210300,10
2019,2210375,8
2019,2210383,5
2019,2210409,34
2019,2210508,12
2019,2210607,36
2019,2210623,11
2019,2210631,12
2019,2210706,18
2019,2210805,17
2019,2210904,9
2019,2211001,646
2019,2211100,71
2019,2211209,32
2019,2211308,25
2019,2211605,5
2019,2300101,18
2019,2300150,11
2019,2300200,58
2019,2300309,47
2019,2300408,20
2019,2300507,17
2019,2300606,7
2019,2300705,13
2019,2300754,72
2019,2300804,8
2019,2300903,22
2019,2301109,62
2019,2301208,24
2019,2301257,12
2019,2301406,13
2019,2301505,9
2019,2301604,19
2019,2301703,25
2019,2301851,19
2019,2301901,63
2019,2301950,17
2019,2302008,26
2019,2302206,47
2019,2302404,76
2019,2302503,50
2019,2302602,59
2019,2302701,28
2019,2302800,99
2019,2302909,19
2019,2303006,27
2019,2303105,23
2019,2303204,24
2019,2303303,11
2019,2303501,67
2019,2303600,18
2019,2303709,216
2019,2303808,29
2019,2303931,18
2019,2304004,20
2019,2304103,76
2019,2304202,110
2019,2304236,33
2019,2304251,30
2019,2304269,8
2019,2304285,54
2019,2304301,24
2019,2304350,18
2019,2304400,1248
2019,2304459,13
2019,2304608,10
2019,2304657,18
2019,2304707,64
2019,2304806,11
2019,2304905,11
2019,2305001,40
2019,2305100,11
2019,2305209,19
2019,2305233,57
2019,2305266,18
2019,2305308,25
2019,2305332,14
2019,2305407,80
2019,2305506,76
2019,2305605,35
2019,2305654,9
2019,2305704,13
2019,2305803,42
2019,2305902,54
2019,2306108,30
2019,2306256,35
2019,2306306,45
2019,2306405,121
2019,2306504,16
2019,2306553,72
2019,2306603,37
2019,2306702,17
2019,2307007,28
2019,2307106,28
2019,2307205,8
2019,2307304,199
2019,2307403,21
2019,2307502,30
2019,2307601,35
2019,2307635,23
2019,2307650,176
2019,2307700,97
2019,2307809,30
2019,2307908,18
2019,2308104,49
2019,2308203,14
2019,2308302,25
2019,2308351,10
2019,2308377,13
2019,2308401,42
2019,2308500,47
2019,2308609,28
2019,2308708,40
2019,2308807,12
2019,2308906,22
2019,2309201,12
2019,2309300,36
2019,2309409,28
2019,2309458,23
2019,2309607,56
2019,2309706,48
2019,2310001,10
2019,2310100,12
2019,2310209,36
2019,2310258,37
2019,2310308,64
2019,2310407,21
2019,2310506,47
2019,2310704,36
2019,2310803,21
2019,2310951,17
2019,2311009,11
2019,2311108,20
2019,2311207,11
2019,2311231,9
2019,2311264,33
2019,2311306,83
2019,2311355,22
2019,2311405,103
2019,2311504,22
2019,2311603,35
2019,2311702,27
2019,2311801,43
2019,2311900,15
2019,2311959,27
2019,2312007,28
2019,2312106,19
2019,2312205,44
2019,2312304,43
2019,2312403,60
2019,2312601,14
2019,2312700,24
2019,2312908,110
2019,2313005,12
2019,2313104,25
2019,2313203,38
2019,2313302,53
2019,2313351,45
2019,2313401,72
2019,2313500,52
2019,2313559,22
2019,2313609,41
2019,2313708,13
2019,2313757,20
2019,2313807,33
2019,2313955,27
2019,2314003,38
2019,2314102,77
2019,2400208,45
2019,2400307,15
2019,2400505,14
2019,2400703,15
2019,2400802,11
2019,2400901,18
2019,2401008,43
2019,2401107,31
2019,2401206,14
2019,2401305,15
2019,2401404,11
2019,2401503,8
2019,2401602,6
2019,2401651,6
2019,2401859,9
2019,2401909,5
2019,2402006,67
2019,2402105,19
2019,2402303,32
2019,2402501,12
2019,2402600,72
2019,2402709,12
2019,2402907,14
2019,2403103,49
2019,2403202,8
2019,2403251,156
2019,2403301,11
2019,2403400,7
2019,2403608,44
2019,2403806,13
2019,2403905,5
2019,2404002,9
2019,2404200,35
2019,2404309,15
2019,2404408,10
2019,2404705,18
2019,2404853,7
2019,2404903,8
2019,2405504,5
2019,2405603,22
2019,2405702,13
2019,2405801,56
2019,2406007,11
2019,2406106,29
2019,2406205,11
2019,2406304,13
2019,2406601,14
2019,2406908,7
2019,2407104,79
2019,2407203,36
2019,2407302,19
2019,2407807,28
2019,2407906,11
2019,2408003,212
2019,2408102,491
2019,2408201,40
2019,2408300,40
2019,2408409,8
2019,2408706,7
2019,2408805,8
2019,2408904,29
2019,2409100,21
2019,2409209,7
2019,2409308,15
2019,2409332,8
2019,2409407,37
2019,2409902,18
2019,2410108,20
2019,2410256,6
2019,2410405,12
2019,2410504,8
2019,2411007,5
2019,2411056,8
2019,2411106,7
2019,2411205,39
2019,2411403,20
2019,2411502,23
2019,2412005,92
2019,2412203,38
2019,2412302,19
2019,2412401,5
2019,2412559,23
2019,2412609,18
2019,2412708,11
2019,2413003,7
2019,2413102,7
2019,2413201,5
2019,2413508,9
2019,2414001,16
2019,2414100,20
2019,2414159,6
2019,2414407,44
2019,2414456,5
2019,2414704,6
2019,2414803,11
2019,2415008,6
2019,2500205,10
2019,2500304,40
2019,2500536,8
2019,2500601,28
2019,2500700,28
2019,2500809,28
2019,2501104,28
2019,2501302,43
2019,2501401,18
2019,2501500,42
2019,2501534,4
2019,2501575,19
2019,2501708,7
2019,2501807,95
2019,2501906,24
2019,2502151,13
2019,2502300,6
2019,2502409,21
2019,2502805,19
2019,2502904,11
2019,2503001,22
2019,2503209,50
2019,2503308,8
2019,2503506,30
2019,2503605,12
2019,2503704,63
2019,2503803,11
2019,2504009,368
2019,2504033,9
2019,2504074,9
2019,2504108,6
2019,2504207,6
2019,2504306,27
2019,2504355,9
2019,2504405,42
2019,2504504,6
2019,2504603,40
2019,2504702,9
2019,2504801,23
2019,2504900,24
2019,2505105,28
2019,2505238,17
2019,2505402,14
2019,2505501,7
2019,2505808,10
2019,2506103,33
2019,2506251,35
2019,2506301,69
2019,2506400,21
2019,2506806,32
2019,2506905,25
2019,2507002,27
2019,2507101,24
2019,2507200,14
2019,2507309,25
2019,2507408,15
2019,2507507,499
2019,2508000,10
2019,2508208,17
2019,2508307,39
2019,2508406,8
2019,2508554,6
2019,2508802,5
2019,2508901,48
2019,2509057,17
2019,2509156,12
2019,2509206,19
2019,2509701,28
2019,2509909,22
2019,2510808,95
2019,2510907,17
2019,2511103,7
2019,2511301,18
2019,2511905,25
2019,2512077,19
2019,2512101,44
2019,2512507,58
2019,2512705,27
2019,2512721,10
2019,2512747,9
2019,2512754,11
2019,2512762,10
2019,2512903,34
2019,2513109,20
2019,2513208,8
2019,2513307,12
2019,2513406,16
2019,2513505,14
2019,2513604,10
2019,2513703,146
2019,2513851,3
2019,2513927,5
2019,2513984,6
2019,2514404,7
2019,2514503,24
2019,2514552,6
2019,2514701,8
2019,2515104,20
2019,2515302,64
2019,2515401,17
2019,2515930,13
2019,2515971,17
2019,2516003,30
2019,2516151,6
2019,2516201,61
2019,2516300,16
2019,2516409,16
2019,2516508,19
2019,2516607,13
2019,2516904,28
2019,2517209,11
2019,2600054,73
