id_municipio,ano,familias_beneficiarias
2101772,2019,2560
2101806,2019,1090
2101905,2019,3584
2101939,2019,878
2101970,2019,1525
2102002,2019,5452
2102036,2019,4855
2102077,2019,2342
2102101,2019,6720
2102150,2019,1758
2102200,2019,5061
2102309,2019,3918
2102325,2019,6709
2102358,2019,2576
2102374,2019,2057
2102408,2019,2073
2102507,2019,4375
2102556,2019,1555
2102606,2019,4011
2102705,2019,3623
2102754,2019,2633
2102804,2019,3168
2102903,2019,5328
2103000,2019,18926
2103109,2019,2308
2103125,2019,1998
2103158,2019,2157
2103174,2019,3230
2103208,2019,14294
2103257,2019,2548
2103307,2019,13806
2103406,2019,6812
2103505,2019,6928
2103554,2019,3091
2103604,2019,9822
2103703,2019,7166
2103752,2019,1607
2103802,2019,3807
2103901,2019,1979
2104008,2019,3276
2104057,2019,3575
2104073,2019,1315
2104081,2019,1943
2104099,2019,2858
2104107,2019,2100
2104206,2019,2953
2104305,2019,1737
2104404,2019,3247
2104503,2019,1691
2104552,2019,2151
2104602,2019,2545
2104628,2019,1064
2104651,2019,1949
2104677,2019,4166
2104701,2019,1045
2104800,2019,9964
2104909,2019,2576
2105005,2019,4726
2105104,2019,4670
2105153,2019,2735
2105203,2019,1829
2105302,2019,14296
2105351,2019,2398
2105401,2019,8804
2105427,2019,3981
2105450,2019,1777
2105476,2019,2368
2105500,2019,3707
2105609,2019,2500
2105658,2019,978
2105708,2019,7957
2105807,2019,1958
2105906,2019,3129
2105922,2019,2054
2105948,2019,1406
2105963,2019,1734
2105989,2019,1453
2106003,2019,1872
2106102,2019,1868
2106201,2019,1917
2106300,2019,2176
2106326,2019,3023
2106359,2019,1395
2106375,2019,1611
2106409,2019,3686
2106508,2019,5918
2106607,2019,5868
2106631,2019,1904
2106672,2019,1542
2106706,2019,3468
2106755,2019,3449
2106805,2019,2963
2106904,2019,5551
2107001,2019,1656
2107100,2019,3734
2107209,2019,2326
2107258,2019,793
2107308,2019,782
2107357,2019,3324
2107407,2019,3676
2107456,2019,3424
2107506,2019,13221
2107605,2019,4477
2107704,2019,4546
2107803,2019,5020
2107902,2019,3100
2108009,2019,3653
2108058,2019,3238
2108108,2019,3689
2108207,2019,3909
2108256,2019,5240
2108306,2019,5832
2108405,2019,2482
2108454,2019,5084
2108504,2019,3892
2108603,2019,13180
2108702,2019,4921
2108801,2019,3254
2108900,2019,2851
2109007,2019,1772
2109056,2019,1446
2109106,2019,4246
2109205,2019,2471
2109239,2019,962
2109270,2019,3945
2109304,2019,1710
2109403,2019,3275
2109452,2019,4643
2109502,2019,2815
2109551,2019,981
2109601,2019,5581
2109700,2019,747
2109759,2019,1160
2109809,2019,7814
2109908,2019,9050
2110005,2019,9564
2110039,2019,3870
2110104,2019,4937
2110203,2019,5552
2110237,2019,1545
2110278,2019,2380
